file,external_id,category,source,label,location,province,precision,match,old_lat,old_lon,new_lat,new_lon,changed
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-FIRENZE,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Firenze,Firenze,comunale,municipality_region,43.7696,11.2558,43.769871,11.255576,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-TORINO,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Torino,Torino,comunale,municipality_region,45.0703,7.6869,45.067755,7.682489,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-MILANO,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Milano,Milano,comunale,municipality_region,45.4642,9.1900,45.466800,9.190500,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-PAVIA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-BRESCIA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Brescia,Brescia,comunale,municipality_region,45.5416,10.2118,45.779580,10.425873,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-VERONA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Verona,Verona,comunale,municipality_region,45.4384,10.9916,45.438496,10.992412,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-PADOVA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Padova,Padova,comunale,municipality_region,45.4064,11.8768,45.407717,11.873446,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-BOLOGNA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Bologna,Bologna,comunale,municipality_region,44.4949,11.3426,44.493758,11.343031,true
territorial_layers.csv,VECTORNET-CURATED-2026-PHLEBOTOMUS-PERNICIOSUS-PARMA,vectors,VECTORNET_CURATED,Phlebotomus perniciosus,Parma,Parma,comunale,municipality_region,44.8015,10.3279,44.801368,10.328083,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-TORINO,vectors,VECTORNET_CURATED,Culicoides spp.,Torino,Torino,comunale,municipality_region,45.0703,7.6869,45.067755,7.682489,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-CUNEO,vectors,VECTORNET_CURATED,Culicoides spp.,Cuneo,Cuneo,comunale,municipality_region,44.3845,7.5427,44.458070,7.558137,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-MILANO,vectors,VECTORNET_CURATED,Culicoides spp.,Milano,Milano,comunale,municipality_region,45.4642,9.1900,45.466800,9.190500,true
territorial_layers.csv,VECTORNET-CURATED-2026-CULICOIDES-SPP-PAVIA,vectors,VECTORNET_CURATED,Culicoides spp.,Pavia,Pavia,comunale,municipality_region,45.1847,9.1582,45.036855,9.137825,true
