source_file,benv_id,raw_comune,raw_provincia,raw_regione,matched_level,matched_label,lat,lon,note
peste_suina_africana_2026_italia.xlsx,85183,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85208,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85252,ARGUELLO,CN,PIEMONTE,province,ARGUELLO,44.38450,7.54270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85254,ARGUELLO,CN,PIEMONTE,province,ARGUELLO,44.38450,7.54270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85262,FOSDINOVO,MS,TOSCANA,province,FOSDINOVO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85283,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85333,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85509,CASTIGLIONE DI GARFAGNANA,LU,TOSCANA,province,CASTIGLIONE DI GARFAGNANA,43.84290,10.50270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84532,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84297,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84356,PIANA CRIXIA,SV,LIGURIA,province,PIANA CRIXIA,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84372,MIGNANEGO,GE,LIGURIA,province,MIGNANEGO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84547,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84551,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84665,BAGNONE,MS,TOSCANA,province,BAGNONE,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82729,SANT\'OLCESE,GE,LIGURIA,province,SANT\'OLCESE,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85000,CALICE AL CORNOVIGLIO,SP,LIGURIA,province,CALICE AL CORNOVIGLIO,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85022,FOSDINOVO,MS,TOSCANA,province,FOSDINOVO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85090,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85092,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85138,TRESANA,MS,TOSCANA,province,TRESANA,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85146,CAREGGINE,LU,TOSCANA,province,CAREGGINE,43.84290,10.50270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84877,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84880,TRESANA,MS,TOSCANA,province,TRESANA,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84906,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82875,SASSELLO,SV,LIGURIA,province,SASSELLO,44.30910,8.47720,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82913,CASTIGLIONE CHIAVARESE,GE,LIGURIA,province,CASTIGLIONE CHIAVARESE,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85155,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85270,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85309,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85334,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85520,PALANZANO,PR,EMILIA ROMAGNA,province,PALANZANO,44.80150,10.32790,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85554,BARGA,LU,TOSCANA,province,BARGA,43.84290,10.50270,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85589,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83415,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84366,MIGNANEGO,GE,LIGURIA,province,MIGNANEGO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84127,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,82880,CALICE AL CORNOVIGLIO,SP,LIGURIA,province,CALICE AL CORNOVIGLIO,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84867,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84950,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84956,CALICE AL CORNOVIGLIO,SP,LIGURIA,province,CALICE AL CORNOVIGLIO,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83658,ROCCHETTA DI VARA,SP,LIGURIA,province,ROCCHETTA DI VARA,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85300,VENTASSO,RE,EMILIA ROMAGNA,province,VENTASSO,44.69890,10.62970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85316,FIVIZZANO,MS,TOSCANA,province,FIVIZZANO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85327,LICCIANA NARDI,MS,TOSCANA,province,LICCIANA NARDI,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,85517,FOSDINOVO,MS,TOSCANA,province,FOSDINOVO,44.03540,10.13970,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,84421,GENOVA,GE,LIGURIA,province,GENOVA,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83370,BRUGNATO,SP,LIGURIA,province,BRUGNATO,44.10250,9.82410,municipality centroid unavailable; coordinates set to province capital for map display
peste_suina_africana_2026_italia.xlsx,83413,RAPALLO,GE,LIGURIA,province,RAPALLO,44.40560,8.94630,municipality centroid unavailable; coordinates set to province capital for map display
